x, y
1.69490232306012, 199.46799573987545
4.237275204416051, 359.0424897283172
7.627105712890625, 644.9468726213935
13.276827537407314, 965.4256277572347
17.796597238314362, 1296.5427027832513
26.271173509500798, 1464.0959214711154
33.05084745762713, 1356.383138028917
40.39547160520392, 1148.9362958439428
46.04518049854344, 960.1064982485661
53.38983050847458, 788.5639172109911
60.16949152542373, 652.9255973208155
77.11864406779661, 519.9468117485551
94.35026524430614, 457.44684218497446
124.01128219345868, 426.8616496734049
161.58191228317003, 409.57449398844176
198.02259024927173, 394.9467508757166
228.81355932203388, 398.93611322542756
259.60450253244176, 400.26594125722363
299.1525423728814, 393.61704458959775
